2104174798,,,,None,,,,,47.314418,-122.201988,,98092,,,2,,,,Auburn,,,,,,,,32115 105th Place SE
2104174798,,,,None,,,,,47.314418,-122.201988,,98092,,,3,,,,Auburn,,,,,,,,32115 105th Place SE
,,,1,,,1,,,,,,98002,,,3,,,,Auburn,,,,,,,1,336 S Division Street
49031605,,,,314274,,,,,47.27393,-122.222365,,98002,,,2,,,,Auburn,,1,,,,,1,3850 D Place, SE
,,,1,,,1,,,,,,98023,,,3,1,,,Auburn,,,,,,,,2445 Poplar Street SE
48659321,,,,256108,,,,,47.339616,-122.270093,,98001,,,3,,,,Auburn,,,,,,,1,29224 51st Ave S.
49138209,,,,196207,,1,,,47.308293,-122.212404,,98002,,,2,,,,Auburn,,,,,,,,1247 East Main
,,,,,1,,,,,,,98002,,,2,,,,Auburn,,,,,,,1,2810 D Street SE
,,,,,,1,,,,,,98047,,,2,,,,Auburn,,,,,,,1,218 3rd Ave S
48814312,,,1,212300,,,,,47.293485,-122.187101,,98092,,,3,,,,Auburn,,,,,,,1,3065 17th St SE
,,,1,,,1,,,,,,98002,,,1,,,,Auburn,,,,,,,,3740 H Street NE
,,,1,,,1,,,,,,98002,,,2,,,,Auburn,,,,,,,,3740 H Street NE
,,,1,,,1,,,,,,98002,,,3,,,,Auburn,,,,,,,,3740 H Street NE
,,,1,,,,,,,,,98002,,,3,,,,Auburn,,,,,,,,Near 37th SE & M St.
,,,,,,,,,,,,98002,,,0,,,,Auburn,,,,,,,,504 25th Street SE
,,,,,,,,,,,,98002,,,1,,,,Auburn,,,,,,,,504 25th Street SE
,,,,,,,,,,,,98002,,,3,,,,Auburn,,,,,,,,504 25th Street SE
2120874853,,,1,None,,1,,,47.288879,-122.176841,,98092,,,2,,,,Auburn,,1,,,,,1,3702 Auburn Way S.
2120874853,,,1,None,,,,,47.288879,-122.176841,,98092,,,2,,,,Auburn,,1,,,,,1,3702 Auburn Way S.
